tb15id,uid,sid,topID,subtopID,conID,passID,passOrder,c1Ans,c2Ans,c3Ans,c4Ans,passRT
1126,184,A3RQQYXMERGXNT,2,201,1,201102,2,92,70,27,,0
1127,183,A27SXNMM91NYZZ,2,202,1,202102,2,100,0,0,,0
1128,183,A27SXNMM91NYZZ,2,203,1,203101,1,87,72,71,,0
1129,184,A3RQQYXMERGXNT,2,202,1,202101,1,84,70,75,,0
1130,184,A3RQQYXMERGXNT,2,202,1,202102,2,83,19,40,,0
1131,183,A27SXNMM91NYZZ,2,203,1,203102,2,100,72,69,,0
1132,183,A27SXNMM91NYZZ,2,203,1,203103,3,100,35,46,,0
1133,184,A3RQQYXMERGXNT,2,203,1,203101,1,93,85,79,,0
1134,183,A27SXNMM91NYZZ,2,203,1,203104,4,48,52,0,,0
1135,184,A3RQQYXMERGXNT,2,203,1,203102,2,50,48,56,,0
1136,184,A3RQQYXMERGXNT,2,203,1,203103,3,76,74,68,,0
1137,184,A3RQQYXMERGXNT,2,203,1,203104,4,70,73,61,,0
1138,187,A2LKGMMTO4DC4Z,2,201,1,201101,1,99,70,53,,14
1139,186,A1REWUVT3N8SN7,2,201,1,201101,1,89,90,90,,36
1140,187,A2LKGMMTO4DC4Z,2,201,1,201102,2,100,41,13,,6
1141,187,A2LKGMMTO4DC4Z,2,201,1,201103,3,100,5,6,,4
1142,187,A2LKGMMTO4DC4Z,2,201,1,201104,4,100,3,2,,8
1143,187,A2LKGMMTO4DC4Z,2,201,1,201105,5,100,3,4,,10
1144,188,A1HFML4SFJP7W7,2,202,1,202101,1,89,64,63,,34
1145,187,A2LKGMMTO4DC4Z,2,202,1,202101,1,82,70,70,,14
1146,186,A1REWUVT3N8SN7,2,201,1,201102,2,94,97,94,,31
1147,188,A1HFML4SFJP7W7,2,202,1,202102,2,93,5,3,,21
1148,188,A1HFML4SFJP7W7,2,202,1,202103,3,93,2,1,,20
1149,186,A1REWUVT3N8SN7,2,201,1,201103,3,86,88,92,,27
1150,187,A2LKGMMTO4DC4Z,2,202,1,202102,2,69,63,55,,6
1151,187,A2LKGMMTO4DC4Z,2,202,1,202103,3,74,63,62,,6
1152,188,A1HFML4SFJP7W7,2,202,1,202104,4,95,0,0,,32
1153,187,A2LKGMMTO4DC4Z,2,202,1,202104,4,71,60,62,,5
1154,187,A2LKGMMTO4DC4Z,2,202,1,202105,5,82,38,52,,6
1155,188,A1HFML4SFJP7W7,2,202,1,202105,5,98,0,0,,16
1156,187,A2LKGMMTO4DC4Z,2,203,1,203101,1,84,77,85,,6
1157,186,A1REWUVT3N8SN7,2,201,1,201104,4,89,92,93,,50
1158,188,A1HFML4SFJP7W7,2,201,1,201101,1,100,67,68,,14
1159,187,A2LKGMMTO4DC4Z,2,203,1,203102,2,81,72,66,,6
1160,187,A2LKGMMTO4DC4Z,2,203,1,203103,3,81,71,74,,5
1161,188,A1HFML4SFJP7W7,2,201,1,201102,2,89,47,25,,21
1162,187,A2LKGMMTO4DC4Z,2,203,1,203104,4,76,74,74,,6
1163,188,A1HFML4SFJP7W7,2,201,1,201103,3,96,7,9,,19
1164,187,A2LKGMMTO4DC4Z,2,203,1,203105,5,71,70,70,,6
1165,186,A1REWUVT3N8SN7,2,201,1,201105,5,90,88,91,,28
1166,189,A2XPW4V63266WV,2,201,1,201101,1,100,30,42,,0
1167,185,A1W36Q5THCHYUZ,2,202,1,202101,1,50,68,73,,0
1168,189,A2XPW4V63266WV,2,202,1,202101,1,100,90,100,,0
1169,189,A2XPW4V63266WV,2,202,1,202102,2,100,0,0,,0
1170,189,A2XPW4V63266WV,2,203,1,203101,1,100,67,70,,0
1171,189,A2XPW4V63266WV,2,203,1,203102,2,100,90,90,,0
1172,190,A1HC2VB14J5KIB,2,201,1,201101,1,83,60,71,,46
1173,190,A1HC2VB14J5KIB,2,201,1,201102,2,74,90,59,,7
1174,190,A1HC2VB14J5KIB,2,202,1,202101,1,72,75,81,,39
1175,190,A1HC2VB14J5KIB,2,202,1,202102,2,79,82,82,,7
1176,190,A1HC2VB14J5KIB,2,202,1,202103,3,48,3,39,,29
1177,185,A1W36Q5THCHYUZ,2,202,1,202102,2,73,69,50,,0
1178,190,A1HC2VB14J5KIB,2,202,1,202104,4,25,2,23,,14
1179,190,A1HC2VB14J5KIB,2,202,1,202105,5,60,70,77,,13
1180,190,A1HC2VB14J5KIB,2,203,1,203101,1,66,72,80,,9
1181,190,A1HC2VB14J5KIB,2,203,1,203102,2,73,74,81,,2
1182,185,A1W36Q5THCHYUZ,2,202,1,202103,3,68,64,88,,0
1183,185,A1W36Q5THCHYUZ,2,202,1,202104,4,74,85,55,,0
1184,194,A1D0PHYBW2QXXF,2,202,1,202101,1,100,69,56,,34
1185,194,A1D0PHYBW2QXXF,2,202,1,202102,2,84,52,54,,25
1186,194,A1D0PHYBW2QXXF,2,202,1,202103,3,75,51,49,,22
1187,194,A1D0PHYBW2QXXF,2,202,1,202104,4,66,41,4,,19
1188,195,ABUXM7VAW5SKJ,2,201,1,201101,1,82,78,75,,35
1189,191,A1RQUDG08EIML7,2,201,1,201101,1,77,82,91,,0
1190,195,ABUXM7VAW5SKJ,2,202,1,202101,1,76,75,73,,32
