tb5id,uid,sid,topID,subtopID,conID,passID,passOrder,c1Ans,c2Ans,c3Ans,c4Ans,passRT
1657,344,AYA4YHEEEO1T8,1,102,2,102204,4,72,41,65,,53
1658,344,AYA4YHEEEO1T8,1,101,3,101301,1,87,61,21,,48
1659,344,AYA4YHEEEO1T8,1,101,3,101302,2,82,17,0,,43
1660,344,AYA4YHEEEO1T8,1,101,3,101303,3,86,6,7,,24
1661,350,A305GO3YC40CZK,1,101,2,101201,1,100,99,84,,43
1662,344,AYA4YHEEEO1T8,1,103,1,103101,1,63,43,22,,63
1663,350,A305GO3YC40CZK,1,101,2,101202,2,98,24,36,,35
1664,350,A305GO3YC40CZK,1,101,2,101203,3,96,82,77,,33
1665,344,AYA4YHEEEO1T8,1,103,1,103102,2,34,60,69,,59
1666,350,A305GO3YC40CZK,1,101,2,101204,4,96,78,64,,34
1667,344,AYA4YHEEEO1T8,1,103,1,103103,3,89,64,78,,39
1668,350,A305GO3YC40CZK,1,102,3,102301,1,94,69,86,,30
1669,348,A2HNQWBBXY66ST,1,101,3,101301,1,43,100,100,,70
1670,344,AYA4YHEEEO1T8,1,103,1,103104,4,67,81,77,,43
1671,350,A305GO3YC40CZK,1,102,3,102302,2,96,60,61,,20
1672,348,A2HNQWBBXY66ST,1,101,3,101302,2,44,14,56,,28
1673,350,A305GO3YC40CZK,1,102,3,102303,3,95,25,30,,25
1674,349,A324FQ64NCN2YS,1,101,1,101101,1,73,81,76,,49
1675,348,A2HNQWBBXY66ST,1,101,3,101303,3,46,0,0,,5
1676,350,A305GO3YC40CZK,1,102,3,102304,4,91,15,19,,18
1677,344,AYA4YHEEEO1T8,1,103,1,103105,5,87,42,23,,56
1678,351,A3IOZ6QOSLDUM7,1,102,3,102301,1,100,100,94,,0
1679,348,A2HNQWBBXY66ST,1,102,2,102201,1,62,100,100,,38
1680,350,A305GO3YC40CZK,1,103,1,103101,1,98,93,97,,49
1681,349,A324FQ64NCN2YS,1,101,1,101102,2,64,84,73,,72
1682,344,AYA4YHEEEO1T8,1,103,1,103106,6,82,71,80,,67
1683,351,A3IOZ6QOSLDUM7,1,102,3,102302,2,100,5,1,,0
1684,350,A305GO3YC40CZK,1,103,1,103102,2,95,97,94,,47
1685,348,A2HNQWBBXY66ST,1,102,2,102202,2,41,92,100,,65
1686,351,A3IOZ6QOSLDUM7,1,102,3,102303,3,39,4,2,,0
1687,349,A324FQ64NCN2YS,1,101,1,101103,3,67,80,69,,65
1688,350,A305GO3YC40CZK,1,103,1,103103,3,96,97,96,,38
1689,350,A305GO3YC40CZK,1,103,1,103104,4,100,92,90,,37
1690,348,A2HNQWBBXY66ST,1,102,2,102203,3,30,86,100,,62
1691,349,A324FQ64NCN2YS,1,101,1,101104,4,74,75,84,,66
1692,350,A305GO3YC40CZK,1,103,1,103105,5,96,88,90,,41
1693,351,A3IOZ6QOSLDUM7,1,102,3,102304,4,36,4,4,,0
1694,350,A305GO3YC40CZK,1,103,1,103106,6,96,93,94,,35
1695,349,A324FQ64NCN2YS,1,102,2,102201,1,74,56,69,,55
1696,348,A2HNQWBBXY66ST,1,103,1,103101,1,28,100,100,,56
1697,351,A3IOZ6QOSLDUM7,1,102,3,102305,5,17,3,0,,0
1698,349,A324FQ64NCN2YS,1,102,2,102202,2,57,73,59,,86
1699,348,A2HNQWBBXY66ST,1,103,1,103102,2,0,100,100,,86
1700,349,A324FQ64NCN2YS,1,102,2,102203,3,76,83,75,,92
1701,349,A324FQ64NCN2YS,1,103,3,103301,1,84,85,82,,48
1702,352,A187TVQ98O0FN2,1,102,1,102101,1,86,95,88,,51
1703,349,A324FQ64NCN2YS,1,103,3,103302,2,81,40,30,,39
1704,349,A324FQ64NCN2YS,1,103,3,103303,3,79,25,26,,19
1705,352,A187TVQ98O0FN2,1,102,1,102102,2,78,89,79,,72
1706,349,A324FQ64NCN2YS,1,103,3,103304,4,70,17,14,,36
1707,349,A324FQ64NCN2YS,1,103,3,103305,5,76,19,17,,11
1708,352,A187TVQ98O0FN2,1,102,1,102103,3,68,71,81,,73
1709,352,A187TVQ98O0FN2,1,102,1,102104,4,43,72,93,,2
1710,352,A187TVQ98O0FN2,1,101,3,101301,1,95,96,84,,65
1711,352,A187TVQ98O0FN2,1,101,3,101302,2,89,95,88,,62
1712,352,A187TVQ98O0FN2,1,101,3,101303,3,92,85,76,,16
1713,352,A187TVQ98O0FN2,1,103,2,103201,1,44,33,38,,117
